model,key,precision_k1,precision_k2,precision_k3,boost_k2,boost_k3
ElasticNet,elastic_net,0.4247135842880524,0.5400981996726678,0.5433715220949263,0.11538461538461542,0.11865793780687395
GEARS,gears_real,0.41023489932885904,0.5285234899328859,0.5327181208053692,0.11828859060402686,0.12248322147651014
CPA,cpa_real,0.387306753458096,0.500406834825061,0.5077298616761595,0.11310008136696498,0.12042310821806351
Geneformer,geneformer_real,0.4320785597381342,0.5245499181669394,0.5294599018003273,0.09247135842880522,0.09738134206219312
Overlay Real,overlay_resampled_real,0.42304526748971194,0.5333333333333333,0.5390946502057613,0.11028806584362139,0.11604938271604937
