gene,k562_chronos,pan_mean_chronos,selective_score
TSPAN6,0.070389327891398,3.894852247884921,-3.8244629199935227
TNMD,0.0285691521967709,0.06660543892005834,-0.03803628672328744
DPM1,6.350674037114486,6.3952868969439844,-0.04461285982949814
SCYL3,2.541019153133559,2.3552804991922702,0.18573865394128886
C1orf112,4.454833906898869,3.684129684686659,0.7707042222122098
FGR,0.070389327891398,0.4494180455748164,-0.3790287176834184
CFH,6.279657006533684,2.1692550957669443,4.11040191076674
FUCA2,5.972692654004264,5.102941894914316,0.869750759089948
GCLC,3.880685525261125,4.650685611613791,-0.7700000863526659
NFYA,4.074676686294496,4.2670404303061575,-0.19236374401166145
STPG1,3.07210580048042,2.472820119598298,0.5992856808821219
NIPAL3,4.028569152196771,3.777646078732329,0.25092307346444187
LAS1L,5.501439145158873,5.252379212354086,0.2490599328047871
ENPP4,0.0565835283663675,1.9350749471468764,-1.8784914187805088
SEMA3F,1.144046369616707,2.4936268946729627,-1.3495805250562558
CFTR,0.0,0.5378291848226796,-0.5378291848226796
ANKIB1,3.753818443173543,4.247960188559707,-0.4941417453861643
CYP51A1,6.641256998726767,5.408531462928104,1.2327255357986635
KRIT1,4.880685525261125,4.762315389371696,0.11837013588942913
RAD52,3.032100843167024,3.333965714198025,-0.3018648710310008
BAD,5.239932613485237,5.558119935781849,-0.3181873222966116
LAP3,5.60229058486114,5.640609370788705,-0.0383187859275651
CD99,5.667892125230234,6.91770744614189,-1.2498153209116554
HS3ST1,0.0,0.8302095216651144,-0.8302095216651144
AOC1,0.0,0.6730810411161712,-0.6730810411161712
WNT16,0.2630344058337938,0.3346477308383555,-0.07161332500456169
HECW1,0.8237493603082727,0.7907924166225704,0.032956943685702345
MAD1L1,5.127633279725874,4.449948382529918,0.6776848971959559
LASP1,6.598871346211795,6.532573304279998,0.06629804193179734
SNX11,4.07638806851284,3.9742485808760195,0.1021394876368209
TMEM176A,0.2265085298086797,0.7790890885633417,-0.5525805587546619
M6PR,5.9429835981871015,6.614328466378459,-0.6713448681913574
KLHL13,1.7004397181410922,1.7055077925964817,-0.005068074455389482
CYP26B1,0.0,1.3875190890437086,-1.3875190890437086
ICA1,5.680324356844016,2.8907718652483068,2.7895524915957095
DBNDD1,3.27500704749987,3.1453513648169484,0.12965568268292138
ALS2,3.1602748314085933,3.677171210293978,-0.5168963788853849
CASP10,3.823749360308273,1.5966948923243935,2.227054467983879
CFLAR,5.214124805352848,4.805562687171829,0.4085621181810195
TFPI,5.762880292916999,3.362318135383978,2.400562157533021
NDUFAF7,3.849999259466098,3.7816609899810922,0.06833826948500565
RBM5,5.801934646273351,5.939871716533648,-0.13793707026029622
MTMR7,0.8155754288625725,0.8623313029812831,-0.04675587411871063
SLC7A2,0.0976107966264223,1.5501680710268062,-1.4525572744003838
ARF5,7.8017406878548705,7.2688320698706965,0.532908617984174
SARM1,1.0,2.265552161405173,-1.2655521614051728
POLDIP2,5.840463233869542,6.0542843624755776,-0.21382112860603542
PLXND1,4.444932048942182,4.464152264059446,-0.01922021511726335
AK2,8.192440775605288,7.541489647655127,0.6509511279501607
CD38,0.3103401206121505,0.7897277049427565,-0.47938758433060596
FKBP4,5.096767854714689,6.004272351403658,-0.9075044966889685
KDM1A,6.584962500721156,5.932592791587395,0.6523697091337608
RBM6,5.477677327565307,5.397036110535205,0.0806412170301023
CAMKK1,2.1602748314085933,2.091345215963591,0.06892961544500231
RECQL,5.25285462595139,5.163867548510266,0.08898707744112411
VPS50,3.279471295644468,3.4820945290327185,-0.2026232333882505
HSPB6,0.5945485495503542,0.9148136157914929,-0.3202650662411387
