,real_data,elastic_net,overlay_resampled_real,cpa_real,gears_real,geneformer_real
real_data,1.0,0.2698907956318253,0.26756897449245187,0.24125696908261532,0.2542901716068643,0.27586206896551724
elastic_net,0.2698907956318253,1.0,0.4437203791469194,0.39419795221843,0.39942028985507244,0.43595769682726204
overlay_resampled_real,0.26756897449245187,0.4437203791469194,1.0,0.41435185185185186,0.4150499706055262,0.4284876905041032
cpa_real,0.24125696908261532,0.39419795221843,0.41435185185185186,1.0,0.3961937716262976,0.43333333333333335
gears_real,0.2542901716068643,0.39942028985507244,0.4150499706055262,0.3961937716262976,1.0,0.42502951593860683
geneformer_real,0.27586206896551724,0.43595769682726204,0.4284876905041032,0.43333333333333335,0.42502951593860683,1.0
